34.05223,-118.24368,ca,los angeles
41.85003,-87.65005,il,chicago
29.76328,-95.36327,tx,houston
39.95233,-75.16379,pa,philadelphia
33.44838,-112.07404,az,phoenix
32.71533,-117.15726,ca,san diego
32.78306,-96.80667,tx,dallas
37.33939,-121.89496,ca,san jose
39.76838,-86.15804,in,indianapolis
30.33218,-81.65565,fl,jacksonville
37.77493,-122.41942,ca,san francisco
30.26715,-97.74306,tx,austin
39.96118,-82.99879,oh,columbus
32.72541,-97.32085,tx,fort worth
35.22709,-80.84313,nc,charlotte
31.75872,-106.48693,tx,el paso
35.14953,-90.04898,tn,memphis
39.29038,-76.61219,md,baltimore
42.35843,-71.05977,ma,boston
47.60621,-122.33207,wa,seattle
38.89511,-77.03637,dc,"washington, d.c."
39.73915,-104.9847,co,denver
43.0389,-87.90647,wi,milwaukee
45.52345,-122.67621,or,portland
36.17497,-115.13722,nv,las vegas
35.46756,-97.51643,ok,oklahoma city
35.08449,-106.65114,nm,albuquerque
36.16589,-86.78444,tn,nashville
32.22174,-110.92648,az,tucson
36.74773,-119.77237,ca,fresno
38.58157,-121.4944,ca,sacramento
33.76696,-118.18923,ca,long beach
33.42227,-111.82264,az,mesa
33.749,-84.38798,ga,atlanta
38.83388,-104.82136,co,colorado springs
35.7721,-78.63861,nc,raleigh
25.77427,-80.19366,fl,miami
36.15398,-95.99277,ok,tulsa
37.80437,-122.2708,ca,oakland
37.69224,-97.33754,ks,wichita
21.30694,-157.85833,hi,honolulu
32.73569,-97.10807,tx,arlington
35.37329,-119.01871,ca,bakersfield
29.95465,-90.07507,la,new orleans
33.83529,-117.9145,ca,anaheim
27.94752,-82.45843,fl,tampa
39.72943,-104.83192,co,aurora
33.74557,-117.86783,ca,santa ana
38.62727,-90.19789,mo,st. louis
40.44062,-79.99589,pa,pittsburgh
27.80058,-97.39638,tx,corpus christi
33.95335,-117.39616,ca,riverside
39.162,-84.45689,oh,cincinnati
38.0498,-84.45855,ky,lexington-fayette
61.21806,-149.90028,ak,anchorage
37.9577,-121.29078,ca,stockton
38.45647,-82.69238,ky,ironville
38.41258,-82.70905,ky,meads
36.07264,-79.79198,nc,greensboro
36.0397,-114.98194,nv,henderson
41.1306,-85.12886,in,fort wayne
27.77086,-82.67927,fl,saint petersburg
32.64005,-117.0842,ca,chula vista
38.25424,-85.75941,ky,louisville
28.53834,-81.37924,fl,orlando
33.30616,-111.84125,az,chandler
43.07305,-89.40123,wi,madison
36.09986,-80.24422,nc,winston-salem
33.57786,-101.85517,tx,lubbock
30.45075,-91.15455,la,baton rouge
35.99403,-78.89862,nc,durham
32.91262,-96.63888,tx,garland
37.98869,-84.47772,ky,lexington
39.52963,-119.8138,nv,reno
25.8576,-80.27811,fl,hialeah
36.09719,-115.14666,nv,paradise
33.50921,-111.89903,az,scottsdale
37.54827,-121.98857,ca,fremont
33.52066,-86.80249,al,birmingham
34.10834,-117.28977,ca,san bernardino
47.65966,-117.42908,wa,spokane
33.35283,-111.78903,az,gilbert
32.36681,-86.29997,al,montgomery
41.60054,-93.60911,ia,des moines
37.6391,-120.99688,ca,modesto
35.05266,-78.87836,nc,fayetteville
32.52515,-93.75018,la,shreveport
47.25288,-122.44429,wa,tacoma
34.1975,-119.17705,ca,oxnard
34.09223,-117.43505,ca,fontana
30.69436,-88.04305,al,mobile
34.74648,-92.28959,ar,little rock
33.93752,-117.23059,ca,moreno valley
34.14251,-118.25508,ca,glendale
35.222,-101.8313,tx,amarillo
33.6603,-117.99923,ca,huntington beach
36.21108,-115.07306,nv,sunrise manor
34.19084,-119.2415,ca,oxnard shores
40.76078,-111.89105,ut,salt lake city
30.43826,-84.28073,fl,tallahassee
34.73037,-86.5861,al,huntsville
35.96064,-83.92074,tn,knoxville
36.10803,-115.245,nv,spring valley
41.82399,-71.41283,ri,providence
34.39166,-118.54259,ca,santa clarita
32.74596,-96.99778,tx,grand prairie
25.90175,-97.49748,tx,brownsville
32.29876,-90.18481,ms,jackson
38.98223,-94.67079,ks,overland park
33.77391,-117.94145,ca,garden grove
38.44047,-122.71443,ca,santa rosa
35.04563,-85.30968,tn,chattanooga
34.09834,-118.32674,ca,hollywood
33.19587,-117.37948,ca,oceanside
26.12231,-80.14338,fl,fort lauderdale
34.1064,-117.59311,ca,rancho cucamonga
27.29393,-80.35033,fl,port saint lucie
34.06334,-117.65089,ca,ontario
45.63873,-122.66149,wa,vancouver
33.41477,-111.90931,az,tempe
37.21533,-93.29824,mo,springfield
33.41421,-111.94348,az,tempe junction
34.69804,-118.13674,ca,lancaster
44.05207,-123.08675,or,eugene
26.00315,-80.22394,fl,pembroke pines
44.9429,-123.0351,or,salem
26.56285,-81.94953,fl,cape coral
43.54997,-96.70033,sd,sioux falls
38.4088,-121.37162,ca,elk grove
42.27113,-89.094,il,rockford
34.57943,-118.11646,ca,palmdale
33.87529,-117.56644,ca,corona
36.67774,-121.6555,ca,salinas
34.05529,-117.75228,ca,pomona
41.52519,-88.0834,il,joliet
43.6135,-116.20345,id,boise
39.11417,-94.62746,ks,kansas city
33.83585,-118.34063,ca,torrance
41.16704,-73.20483,ct,bridgeport
37.66882,-122.0808,ca,hayward
40.58526,-105.08442,co,fort collins
33.11921,-117.08642,ca,escondido
39.70471,-105.08137,co,lakewood
29.97854,-90.16396,la,metairie terrace
41.78586,-88.14729,il,naperville
39.75895,-84.19161,oh,dayton
37.36883,-122.03635,ca,sunnyvale
29.98409,-90.15285,la,metairie
34.14778,-118.14452,ca,pasadena
33.78779,-117.85311,ca,orange
32.08354,-81.09983,ga,savannah
35.79154,-78.78112,nc,cary
33.87029,-117.92534,ca,fullerton
36.52977,-87.35945,tn,clarksville
40.69161,-112.00105,ut,west valley city
39.04833,-95.67804,ks,topeka
34.17056,-118.83759,ca,thousand oaks
42.00833,-91.64407,ia,cedar rapids
38.8814,-94.81913,ks,olathe
29.65163,-82.32483,fl,gainesville
34.26945,-118.78148,ca,simi valley
47.61038,-122.20068,wa,bellevue
37.97798,-122.03107,ca,concord
25.98731,-80.23227,fl,miramar
26.27119,-80.2706,fl,coral springs
30.22409,-92.01984,la,lafayette
32.77657,-79.93092,sc,charleston
32.95373,-96.89028,tx,carrollton
38.75212,-121.28801,ca,roseville
39.86804,-104.97192,co,thornton
30.08605,-94.10185,tx,beaumont
33.63059,-112.33322,az,surprise
37.97476,-87.55585,in,evansville
32.44874,-99.73314,tx,abilene
33.15067,-96.82361,tx,frisco
39.09112,-94.41551,mo,independence
33.96095,-83.37794,ga,athens
37.35411,-121.95524,ca,santa clara
40.69365,-89.58899,il,peoria
34.06862,-118.02757,ca,el monte
33.21484,-97.13307,tx,denton
37.87159,-122.27275,ca,berkeley
40.23384,-111.65853,ut,provo
33.94001,-118.13257,ca,downey
31.99735,-102.07791,tx,midland
35.22257,-97.43948,ok,norman
41.55815,-73.0515,ct,irving
33.64113,-117.91867,ca,costa mesa
33.96168,-118.35313,ca,inglewood
35.84562,-86.39027,tn,murfreesboro
36.02525,-115.24194,nv,enterprise
42.03725,-88.28119,il,elgin
27.96585,-82.8001,fl,clearwater
25.94204,-80.2456,fl,miami gardens
38.25445,-104.60914,co,pueblo
42.63342,-71.31617,ma,lowell
34.22573,-77.94471,nc,wilmington
39.80276,-105.08748,co,arvada
39.83665,-105.0372,co,westminster
34.06862,-117.93895,ca,west covina
45.49818,-122.43148,or,gresham
33.90224,-118.08173,ca,norwalk
33.15809,-117.35059,ca,carlsbad
38.24936,-122.03997,ca,fairfield
42.3751,-71.10561,ma,cambridge
34.1389,-118.35341,ca,universal city
35.95569,-80.00532,nc,high point
45.78329,-108.50069,mt,billings
44.51916,-88.01983,wi,green bay
40.60967,-111.9391,ut,west jordan
37.93576,-122.34775,ca,richmond
27.9378,-82.28592,fl,brandon
33.55391,-117.21392,ca,murrieta
34.18084,-118.30897,ca,burbank
28.03446,-80.58866,fl,palm bay
47.97898,-122.20208,wa,everett
38.00492,-121.80579,ca,antioch
41.68338,-86.25001,in,south bend
37.70577,-122.46192,ca,daly city
39.57916,-104.87692,co,centennial
33.49364,-117.14836,ca,temecula
